epoch,train_loss,val_mae,val_corr,lr,epoch_time_s,is_best
1,316.117890,25.6909,0.741818,3.00e-04,17.5,1
2,217.240512,19.2165,0.791382,3.00e-04,11.9,1
3,183.419824,18.3477,0.814926,2.98e-04,11.9,1
4,166.543632,16.1603,0.874003,2.96e-04,12.0,1
5,156.929469,18.5457,0.871734,2.93e-04,12.2,0
6,142.243233,11.9311,0.918158,2.89e-04,12.1,1
7,123.194715,18.7432,0.843767,2.84e-04,12.0,0
8,128.888005,11.3962,0.926831,2.78e-04,12.2,1
9,115.236488,12.0496,0.926513,2.71e-04,12.1,0
10,114.525056,17.3913,0.926930,2.64e-04,12.0,0
11,110.809438,11.5305,0.933168,2.56e-04,12.0,0
12,106.981467,9.8857,0.944062,2.47e-04,12.0,1
13,90.832111,15.6899,0.939394,2.38e-04,12.0,0
14,98.529608,11.0044,0.943671,2.28e-04,12.0,0
15,95.517673,8.7642,0.955778,2.18e-04,11.9,1
16,92.322008,11.6577,0.944328,2.07e-04,12.0,0
17,96.081875,9.0947,0.957280,1.96e-04,12.0,0
18,86.203967,8.3327,0.957947,1.85e-04,12.0,1
19,81.255433,8.8932,0.957360,1.74e-04,11.9,0
20,82.597604,8.3090,0.963651,1.62e-04,12.0,1
21,70.211526,10.8326,0.956734,1.50e-04,12.0,0
22,84.160287,10.6003,0.959440,1.38e-04,12.0,0
23,68.843507,7.7074,0.965574,1.27e-04,12.1,1
24,67.466572,8.1675,0.964662,1.15e-04,12.0,0
25,68.567076,10.5960,0.962334,1.04e-04,12.1,0
26,68.117604,7.6345,0.965376,9.27e-05,12.1,1
27,72.495096,7.7941,0.963156,8.20e-05,12.2,0
28,64.683326,8.2954,0.962805,7.17e-05,12.1,0
29,71.818196,7.6374,0.965174,6.19e-05,12.0,0
30,68.897660,9.2041,0.964527,5.27e-05,12.0,0
31,62.114965,8.5967,0.964275,4.40e-05,12.2,0
32,65.209997,7.4310,0.966573,3.60e-05,12.2,1
33,62.241713,7.5124,0.968017,2.87e-05,12.1,0
34,60.788636,8.1506,0.960935,2.22e-05,12.0,0
35,61.955265,7.4216,0.967122,1.64e-05,12.1,1
36,64.145570,8.1053,0.967626,1.15e-05,12.1,0
37,56.668704,7.3050,0.967503,7.44e-06,12.0,1
38,65.150396,7.3192,0.967599,4.24e-06,12.0,0
39,57.356895,7.7318,0.964460,1.95e-06,12.0,0
40,61.044369,7.4129,0.966872,5.62e-07,12.0,0
